cid;new_cid;channel_id;LANGUAGE;title;description;Provider_id;author;release_date;episode_count;play_count;sub_count;comment_count;categories;keywords;tags;rss_url;small_cover_url;big_cover_url
479484;0;3f316ad6f10b78bb6cef258654ee4de9cabdac3e;FR (FR);Psychoses;Chaleureuse, cultivée, marrante, Agathe a 27 ans et souffre de délires schizophrènes. Lors de son rendez-vous chez le psy, elle raconte les voix dans sa tête, mais aussi ses lectures et sa vie 'normale'. Agathe nous ressemble. Une série documentaire sur l'ordinaire de la folie.;;ARTE Radio;2007-06-13 00:00:00 UTC;5;143;47;0;Portraits;News & Politics,Government & Organizations,Society & Culture;evst-user-add;https://www.arteradio.com/xml_sound_serie?seriename=PSYCHOSES;https://www.arteradio.com/sites/default/files/pictures/Bonbons.jpg;https://www.arteradio.com/sites/default/files/pictures/Bonbons.jpg
409232;474822;dfd0d7818e94d6c3360d9457c8c78e358d9e84e1;FR (FR);Le mike et l'enclume;Le rendez-vous mensuel de la culture rap animé par Jérôme Larcin. Bons sons, critiques affûtées libres et bonne humeur : un podcast ARTE Radio.;Natif;ARTE Radio;2018-04-24 12:03:42 UTC;35;38;1;0;Musique;News & Politics,Government & Organizations,Society & Culture;;"http://arteradio.com/xml_sound_serie?seriename=""LE%20MIKE%20ET%20L'ENCLUME""";http://is5.mzstatic.com/image/thumb/Music71/v4/f1/86/6c/f1866ca7-4b69-4177-634e-bc694568daa0/source/100x100bb.jpg;http://is5.mzstatic.com/image/thumb/Music71/v4/f1/86/6c/f1866ca7-4b69-4177-634e-bc694568daa0/source/600x600bb.jpg
466110;480957;54b48de889b91293f876cc934b351a5bf50c0c2f;FR (FR);Pelles et râteaux;Une collection de témoignages intimes autour du délicat moment du passage à l’acte. Allez-vous embrasser ou tourner la tête ? Et des années plus tard, raconter votre meilleure pelle ou votre pire râteau ? Dix épisodes de 2 à 4 minutes comprenant chacun deux récits en miroir. Soit vingt moments décisifs à partager. Une production de Jeanne Robet pour ARTE Radio.;Radio;ARTE Radio;2016-09-27 12:06:53 UTC;10;1;7;0;Sexualité;News & Politics,Government & Organizations,Society & Culture;;http://www.arteradio.com/xml_sound_serie?seriename=PELLES%20ET%20RÂTEAUX;http://is1.mzstatic.com/image/thumb/Music19/v4/e9/8d/d8/e98dd82d-6a7e-ec1d-9f02-4f25f2bf4b36/source/100x100bb.jpg;http://is1.mzstatic.com/image/thumb/Music19/v4/e9/8d/d8/e98dd82d-6a7e-ec1d-9f02-4f25f2bf4b36/source/600x600bb.jpg
466603;482005;8db61c9b9a3536cfd16402a77a4e7cfb76a96a57;FR (FR);Cent façons de disparaître;Cernée par les ondes, surveillée par les réseaux, une jeune femme rêve de disparaître. Mais il n’y a pas d’application pour ça... Une fiction rebelle de Claire Richard tapie dans l'ombre numérique pour ARTE Radio.;Radio;ARTE Radio;;5;1;0;0;Littérature;News & Politics,Government & Organizations,Society & Culture;;"http://www.arteradio.com/xml_sound_serie?seriename=""CENT%20FAÇONS%20DE%20DISPARAÎTRE""";http://is4.mzstatic.com/image/thumb/Music122/v4/73/0a/1e/730a1ea0-5f9d-045d-333f-d889ebfe985c/source/100x100bb.jpg;http://is4.mzstatic.com/image/thumb/Music122/v4/73/0a/1e/730a1ea0-5f9d-045d-333f-d889ebfe985c/source/600x600bb.jpg
466499;998218;cb7909d839c9c25b4105b67b39b0cd971579964a;FR (FR);Le vaisseau spécial;Gaël, jeune chômeur breton, est enlevé par Grischkor et Iga, un couple d'extraterrestres un peu cons. La première comédie sonore de Frank Bellocq (Groland), une saga galactique en hommage aux feuilletons radio;Radio;ARTE Radio;2009-12-22 00:00:00 UTC;12;0;1;0;Littérature;News & Politics,Government & Organizations,Society & Culture;;"http://www.arteradio.com/xml_sound_serie?seriename=""LE%20VAISSEAU%20SPÉCIAL""";http://is4.mzstatic.com/image/thumb/Music111/v4/bd/12/8e/bd128ed9-a260-4116-2e81-c650fd511303/source/100x100bb.jpg;http://is4.mzstatic.com/image/thumb/Music111/v4/bd/12/8e/bd128ed9-a260-4116-2e81-c650fd511303/source/600x600bb.jpg
466113;474821;aee500918c71352f6bf93e7d51833aaee5be4cbc;FR (FR);Flicopolis;Enquêtes, indics, interpellations… Un officier des stups raconte son quotidien dans l’univers du trafic de drogue en banlieue parisienne. Une production de Merry Royer pour ARTE Radio.;Radio;ARTE Radio;2016-06-28 07:19:17 UTC;8;0;1;0;Portraits;News & Politics,Government & Organizations,Society & Culture;;http://www.arteradio.com/xml_sound_serie?seriename=FLICOPOLIS;http://is4.mzstatic.com/image/thumb/Music111/v4/50/3e/4d/503e4d05-1892-9f59-8526-c1388c410fe3/source/100x100bb.jpg;http://is4.mzstatic.com/image/thumb/Music111/v4/50/3e/4d/503e4d05-1892-9f59-8526-c1388c410fe3/source/600x600bb.jpg
466036;479319;9df189eec61d0f826d08a53f7c5354a2061eb678;FR (FR);A la campagne;Après 15 ans à Paris et en banlieue, Emma s'installe à la campagne. Nouvelle école, nouveaux voisins, nouvelle vie : elle nous racontera tout. Premier épisode : la rentrée des écoliers.;Radio;ARTE Radio;2009-06-23 00:00:00 UTC;7;0;1;0;Portraits;News & Politics,Government & Organizations,Society & Culture;;http://www.arteradio.com/xml_sound_serie?seriename=A%20LA%20CAMPAGNE;https://www.arteradio.com/sites/default/files/pictures/Bonbons.jpg;https://www.arteradio.com/sites/default/files/pictures/Bonbons.jpg
86904;0;27fcc59f03be5db52d60ce87483b914515e71f9f;FR (FR);Afrique : 50 ans d'indépendance - Tchad;Le podcast du web-documentaire d'ARTE Reportage consacré aux indépendances de l'Afrique.;Radio;ARTE Reportage;2000-03-01 19:37:00 UTC;38;19;6;0;Histoire;indépendance,TV & Film,ARTE,Reportage,TV & Film/(None),Tchad,Afrique,(None);evst-user-add;http://feeds.feedburner.com/artereportage-afrique-20;https://is4-ssl.mzstatic.com/image/thumb/Music4/v4/8c/d6/d4/8cd6d4cf-06b2-10d6-f2ac-22c81613e0a1/source/100x100bb.jpg;https://is4-ssl.mzstatic.com/image/thumb/Music4/v4/8c/d6/d4/8cd6d4cf-06b2-10d6-f2ac-22c81613e0a1/source/600x600bb.jpg
391162;0;818098b2e5c278c0871e7187b04587fbfbf29940;FR (FR);Le Réveil Chérie de Vincent Cerutti;"Retrouvez tous les podcasts de l'émission ""Le Réveil Chérie de Vincent Cerutti"" !";;ChérieFm;2018-03-14 23:00:00 UTC;1905;76;27;0;Fun;Music,Vincent,Cerutti,Chérie,Réveil;evst-user-add;;http://is1.mzstatic.com/image/thumb/Music71/v4/65/88/97/65889767-4a74-f3ee-0da9-15972f6562d1/source/100x100bb.jpg;http://is1.mzstatic.com/image/thumb/Music71/v4/65/88/97/65889767-4a74-f3ee-0da9-15972f6562d1/source/600x600bb.jpg
371860;372213;ba9a384169c85fd8a9fde5705714ece3c0ee8af3;FR (FR);Ca pique mais c'est bon - Anne Roumanoff;Anne Roumanoff croque avec impertinence et humour celles et ceux qui font l’actualité.;Radio;Europe 1;;25;134;9;0;Fun;;;http/ssssssss.xml;http://is4.mzstatic.com/image/thumb/Music41/v4/ca/70/61/ca706130-6be4-4b0a-a305-07cdd8379a45/source/100x100bb.jpg;http://is4.mzstatic.com/image/thumb/Music41/v4/ca/70/61/ca706130-6be4-4b0a-a305-07cdd8379a45/source/600x600bb.jpg
